pickup_grid;pickup_weekend;pickup_hour;pickup_cnt_avg
00543f55232a3ae3;0;0;25.5454545454545455
00543f55232a3ae3;0;1;28.9545454545454545
00543f55232a3ae3;0;2;23.8181818181818182
00543f55232a3ae3;0;3;19.1818181818181818
00543f55232a3ae3;0;4;20.8636363636363636
00543f55232a3ae3;0;5;29.6818181818181818
00543f55232a3ae3;0;6;29
00543f55232a3ae3;0;7;21.8636363636363636
00543f55232a3ae3;0;8;18.0454545454545455
00543f55232a3ae3;0;9;17.5909090909090909
00543f55232a3ae3;0;10;15.6818181818181818
00543f55232a3ae3;0;11;25.0909090909090909
00543f55232a3ae3;0;12;27.3636363636363636
00543f55232a3ae3;0;13;28.6363636363636364
00543f55232a3ae3;0;14;23.2727272727272727
00543f55232a3ae3;0;15;18.4545454545454545
00543f55232a3ae3;0;16;15.5454545454545455
00543f55232a3ae3;0;17;11.3181818181818182
00543f55232a3ae3;0;18;9.0454545454545455
00543f55232a3ae3;0;19;7.6363636363636364
00543f55232a3ae3;0;20;4.8181818181818182
00543f55232a3ae3;0;21;4.2857142857142857
00543f55232a3ae3;0;22;7.7727272727272727
00543f55232a3ae3;0;23;17.2272727272727273
00543f55232a3ae3;1;0;27.875
00543f55232a3ae3;1;1;24.625
00543f55232a3ae3;1;2;26.25
00543f55232a3ae3;1;3;25.375
00543f55232a3ae3;1;4;30.875
00543f55232a3ae3;1;5;33.375
00543f55232a3ae3;1;6;35
00543f55232a3ae3;1;7;28
00543f55232a3ae3;1;8;20.375
00543f55232a3ae3;1;9;22.375
00543f55232a3ae3;1;10;24.25
00543f55232a3ae3;1;11;28.25
00543f55232a3ae3;1;12;29.125
00543f55232a3ae3;1;13;30.625
00543f55232a3ae3;1;14;23.125
00543f55232a3ae3;1;15;18
00543f55232a3ae3;1;16;18.875
00543f55232a3ae3;1;17;13.25
00543f55232a3ae3;1;18;10.25
00543f55232a3ae3;1;19;9.5
00543f55232a3ae3;1;20;5.5
00543f55232a3ae3;1;21;2.75
00543f55232a3ae3;1;22;7.25
00543f55232a3ae3;1;23;15.125
005c12cfe271d68e;0;0;1
005c12cfe271d68e;0;3;1
005c12cfe271d68e;0;4;1
005c12cfe271d68e;0;5;1
005c12cfe271d68e;0;6;1
005c12cfe271d68e;0;9;1
005c12cfe271d68e;0;10;1
005c12cfe271d68e;0;11;1
005c12cfe271d68e;1;6;1
005c12cfe271d68e;1;10;2
00716147bd0de1bf;1;10;1
009db022602d0c9b;0;6;1
009db022602d0c9b;0;8;1
00a6a0e6500a36e5;0;10;1
00a6a0e6500a36e5;1;4;1
00a6a0e6500a36e5;1;6;1
00a6a0e6500a36e5;1;7;1
00be05778416e882;1;0;1
00c7f1009bd6e2e8;0;0;1.5714285714285714
00c7f1009bd6e2e8;0;1;1.9411764705882353
00c7f1009bd6e2e8;0;2;1.5714285714285714
00c7f1009bd6e2e8;0;3;1.2
00c7f1009bd6e2e8;0;4;1.4666666666666667
00c7f1009bd6e2e8;0;5;1.4166666666666667
00c7f1009bd6e2e8;0;6;1.9090909090909091
00c7f1009bd6e2e8;0;7;2.0833333333333333
00c7f1009bd6e2e8;0;8;1.3333333333333333
00c7f1009bd6e2e8;0;9;1.4166666666666667
00c7f1009bd6e2e8;0;10;1.9285714285714286
00c7f1009bd6e2e8;0;11;1.375
00c7f1009bd6e2e8;0;12;1.2307692307692308
00c7f1009bd6e2e8;0;13;1.2857142857142857
00c7f1009bd6e2e8;0;14;1
00c7f1009bd6e2e8;0;16;1
00c7f1009bd6e2e8;0;17;1
00c7f1009bd6e2e8;0;22;1
00c7f1009bd6e2e8;0;23;1.2222222222222222
00c7f1009bd6e2e8;1;0;1.6666666666666667
00c7f1009bd6e2e8;1;1;1.8333333333333333
00c7f1009bd6e2e8;1;2;2
00c7f1009bd6e2e8;1;3;1.3333333333333333
00c7f1009bd6e2e8;1;4;1.3333333333333333
00c7f1009bd6e2e8;1;5;2.5
00c7f1009bd6e2e8;1;6;1.2
00c7f1009bd6e2e8;1;7;1.5
00c7f1009bd6e2e8;1;8;1.25
00c7f1009bd6e2e8;1;9;1.3333333333333333
00c7f1009bd6e2e8;1;10;1.5
00c7f1009bd6e2e8;1;11;1.3333333333333333
00c7f1009bd6e2e8;1;12;1
00c7f1009bd6e2e8;1;13;1
00c7f1009bd6e2e8;1;14;1
00c7f1009bd6e2e8;1;16;1
00c7f1009bd6e2e8;1;17;1
00c7f1009bd6e2e8;1;18;1
00c7f1009bd6e2e8;1;22;1
00c7f1009bd6e2e8;1;23;1.25
00d7dcba8ae751f6;0;1;1.25
00d7dcba8ae751f6;0;2;1.1666666666666667
00d7dcba8ae751f6;0;3;1.2
00d7dcba8ae751f6;0;4;1
00d7dcba8ae751f6;0;5;1.3333333333333333
00d7dcba8ae751f6;0;6;1.125
