hex_id,c_lon,c_lat,geometry
c151c79af5585f6a,104.46342,30.87734,"104.46342, 30.87734"
3a1ce6f60c8696eb,103.60172,30.82608,"103.60172, 30.82608"
aada8f5ae067d90a,104.17292,30.51382,"104.17292, 30.51382"
4375f4117407765f,103.65802,30.96174,"103.65802, 30.96174"
2bc0e4d5556e7b48,104.00755,30.97146,"104.00755, 30.97146"
ace3bb4a658ef318,104.63156,30.75344,"104.63156, 30.75344"
e3c98397598c1c76,103.98294,30.9928,"103.98294, 30.9928"
ae1f2fa6c175a64a,103.90623,30.34206,"103.90623, 30.34206"
dcee410b6fe3282e,103.44192,30.219,"103.44192, 30.219"
5271bff5de1ffc6e,104.12848,30.90124,"104.12848, 30.90124"
23ab47ea30b86a2e,104.00756,30.92503,"104.00756, 30.92503"
efab0dee4b2e5d4b,104.05674,30.92875,"104.05674, 30.92875"
d5905a7da4f635ce,103.54882,30.51558,"103.54882, 30.51558"
4041553b7ed092e6,103.81436,30.54926,"103.81436, 30.54926"
f1b6c8117696673e,103.53028,30.56612,"103.53028, 30.56612"
7e9ff7da4f408d2e,103.58863,30.28582,"103.58863, 30.28582"
e8c28e64215c5e9c,103.94436,30.71341,"103.94436, 30.71341"
04f385c0c65f3215,104.0649,30.82876,"104.0649, 30.82876"
e12ab567c78183b0,103.54158,30.38418,"103.54158, 30.38418"
80a4533cbfb9b099,103.8714,30.49952,"103.8714, 30.49952"
9358fc61e324214c,103.77312,30.7236,"103.77312, 30.7236"
0fce32b720c091ba,104.10582,30.79312,"104.10582, 30.79312"
11e8bf5e1126df77,104.05252,30.35265,"104.05252, 30.35265"
46d449c158d95069,104.7039,30.77204,"104.7039, 30.77204"
5d9a1dd89fb6fa1e,103.76744,30.60164,"103.76744, 30.60164"
7f0d5628a0368424,104.53385,30.61674,"104.53385, 30.61674"
ce3c8255c6db1c58,103.97122,30.33136,"103.97122, 30.33136"
c6f4de53556ead29,103.9562,31.0972,"103.9562, 31.0972"
42453274fd5765cf,103.86696,30.66512,"103.86696, 30.66512"
f44d5e1b125f00d4,104.4133,30.73418,"104.4133, 30.73418"
d33865f4e85b1914,103.95222,30.98464,"103.95222, 30.98464"
2098489ed5fd3894,103.83644,30.65702,"103.83644, 30.65702"
e95b07d58f4e9732,104.42031,30.49459,"104.42031, 30.49459"
60687f03d6b806d9,103.5006,30.17927,"103.5006, 30.17927"
bd148cd8c66ddd7d,104.09331,30.50228,"104.09331, 30.50228"
a0b6b2cfb8d8e42c,104.37088,30.89973,"104.37088, 30.89973"
521d0f618c4ff323,103.80378,30.68542,"103.80378, 30.68542"
e6e61d25036d84a5,104.64071,30.34708,"104.64071, 30.34708"
719a79192de1337e,104.60947,30.83145,"104.60947, 30.83145"
a8681aa01f78544a,104.58421,30.75983,"104.58421, 30.75983"
5d5446faa2c5cf10,104.24796,30.32018,"104.24796, 30.32018"
bf701d7b5d55e45d,103.86007,31.00655,"103.86007, 31.00655"
0bf32a264e0560a4,104.21226,30.74678,"104.21226, 30.74678"
9f93ae59725bf96d,103.8348,30.50836,"103.8348, 30.50836"
520639c2f3567356,104.6312,30.70686,"104.6312, 30.70686"
b88f0045670790d3,103.47722,30.3485,"103.47722, 30.3485"
755319a7866d62d4,103.40949,30.24726,"103.40949, 30.24726"
f0ece52f91ff0b4c,103.96886,30.69206,"103.96886, 30.69206"
73951ac4f91eb6de,104.5055,30.34956,"104.5055, 30.34956"
26cdc154fea49d74,103.77152,31.1872,"103.77152, 31.1872"
1ce1163913e5e651,104.73366,30.64018,"104.73366, 30.64018"
43b8d011f5b659d7,103.38244,30.35082,"103.38244, 30.35082"
731702c30f228d13,104.22262,30.79592,"104.22262, 30.79592"
84c29341ca1bddbe,103.96106,30.32869,"103.96106, 30.32869"
eb77512b32246471,103.50063,30.75256,"103.50063, 30.75256"
c307835f6d709076,103.77681,30.83586,"103.77681, 30.83586"
b7cccddd29805387,104.60272,30.75531,"104.60272, 30.75531"
92f03976aa431674,104.64654,30.8224,"104.64654, 30.8224"
2394909d344721b7,104.19915,31.32914,"104.19915, 31.32914"
739842a1d11fe778,103.96273,30.709,"103.96273, 30.709"
54f0dbb54c2a6cfb,104.07506,30.69222,"104.07506, 30.69222"
30bfb5d3b8bea79c,103.92545,31.089,"103.92545, 31.089"
09ee1dad790f8dac,103.88174,30.40966,"103.88174, 30.40966"
6eda3cfc9d4608b3,104.29548,30.49936,"104.29548, 30.49936"
5d9bf451709aa7a9,103.55638,30.60088,"103.55638, 30.60088"
74ef256f7a1eb8b5,104.69062,30.66634,"104.69062, 30.66634"
23ae7e65c851599a,104.33834,30.47338,"104.33834, 30.47338"
2a266e2e973e5ae6,103.81127,30.90998,"103.81127, 30.90998"
d2a52f3ac80f2a12,103.78098,30.80914,"103.78098, 30.80914"
f91a5c3da1590fa6,103.99942,30.83932,"103.99942, 30.83932"
698998e10995dc34,103.7319,30.85168,"103.7319, 30.85168"
126b4f0c2e4305ed,103.5958,30.79668,"103.5958, 30.79668"
11f41ae510f70d71,103.84104,30.4452,"103.84104, 30.4452"
f011b48efe856538,103.99553,30.44885,"103.99553, 30.44885"
43b301b7a8f53873,104.06293,31.05118,"104.06293, 31.05118"
fd6585e33b158be3,104.1956,30.62176,"104.1956, 30.62176"
e3b9a10a413ab634,103.70258,30.56588,"103.70258, 30.56588"
9892afd2829202e5,104.43574,30.70284,"104.43574, 30.70284"
a1ebcce01176587a,103.77465,30.87238,"103.77465, 30.87238"
7138241cf20c38ae,103.3002,30.31948,"103.3002, 30.31948"
20fac817a0229795,103.49444,30.19609,"103.49444, 30.19609"
8e553fc7d045e1f3,104.08722,30.51922,"104.08722, 30.51922"
7a275b6003adfc7c,103.5823,31.01558,"103.5823, 31.01558"
3475135ee39d855f,104.18922,30.49953,"104.18922, 30.49953"
6299c796d382f264,104.70912,30.66179,"104.70912, 30.66179"
2fd0072498e7e63b,103.91753,30.91044,"103.91753, 30.91044"
48566cb3229bf514,103.7756,30.59454,"103.7756, 30.59454"
d20c1d8dc0605443,103.51196,30.28388,"103.51196, 30.28388"
e342c49b2fccba8b,103.8126,31.15176,"103.8126, 31.15176"
0bf85c6ee64d8e82,103.72068,30.60773,"103.72068, 30.60773"
22aa7000ad1cd776,104.57307,30.34833,"104.57307, 30.34833"
aa2d75f939521ac0,103.92538,31.13546,"103.92538, 31.13546"
